H814_chip	1
H814_chip_2	2
H815_chip	3
H817_chip	4
H821_chip	5
H823_chip	6
H827_chip	7
H831_chip	8
H831_chip_2	9
H835_chip	10
H835_chip_2	11
H838_chip	12
H840_chip	13
H841_chip	14
H800_swab_1	15
H800_swab_2	16
H801_swab_1	17
H802_swab_1	18
H802_swab_2	19
H803_swab_1	20
H803_swab_2	21
H804_swab_1	22
H804_swab_4	23
H805_swab_1	24
H805_swab_2	25
H806_swab_1	26
H806_swab_2	27
H807_swab_1	28
H807_swab_2	29
H809_swab_1	30
H809_swab_2	31
H810_swab_1	32
H813_swab_3	33
H813_swab_4	34
H817_swab_1	35
H817_swab_2	36
H818_swab_1	37
H818_swab_2	38
H819_swab_1	39
H819_swab_2	40
H820_swab_1	41
H820_swab_2	42
H821_swab_1	43
H821_swab_2	44
H822_swab_1	45
H822_swab_2	46
H823_swab_1	47
H825_swab_1	48
H825_swab_2	49
H827_swab_1	50
H827_swab_2	51
H831_swab_1	52
H831_swab_2	53
H833_swab_1	54
H834_swab_1	55
H834_swab_2	56
H837_swab_1	57
H837_swab_2	58
H840_swab_1	59
H840_swab_2	60
H841_swab_1	61
H841_swab_2	62
